Title,Year,EID,Abstract,Publisher,Conference name,Conference date,Authors,Author(s) ID,Authors with affiliations,Source title,Abbreviated Source Title,Cited by
Using ontology in hierarchical information clustering,2005,2-s2.0-27544437912,"The tools to analyze and visualize information from multiple, heterogeneous sources have often relied on innovations in statistical methods. The results from purely statistical methods, however, overlook relevant semantic features present within natural language and text-based information. Emerging research in ontology languages (e.g. RDF, RDFS, SUO-KIF, and OWL) offers promising avenues for overcoming these limitations by leveraging existing and future libraries of meta-data and semantic mark-up. Using semantic features (e.g. hypernyms, meronyms, synonyms, etc.) encoded in ontology languages, methods such as keyword search and clustering can be augmented to analyze and visualize documents at conceptually richer levels. We present findings from a hierarchical clustering system modified for ontological indexing and run on a topic-centric test collection of documents each with fewer than 200 words. Our findings show that ontologies can impose a complete interpretation or subjective clustering onto a document set that is at least as good as meta-word search.",,38th Annual Hawaii International Conference on System Sciences,3 January 2005 through 6 January 2005,"Breaux T.D., Reed J.W.",9134075300;57197601225;,"Breaux, T.D.; Reed, J.W.",Proceedings of the Annual Hawaii International Conference on System Sciences,Proc. Annu. Hawaii Int. Conf. Syst. Sci.,10.0
A systems Model for Knowledge Management: A Rhetorical heuristic Process,2005,2-s2.0-27544454309,"An Integrative Mental Model of Knowledge Management can provide a way of visualizing the interrelated elements that comprise a knowledge management system. This original model, building on a Rhetorical Process Model of Communication, includes both the objective and subjective elements within human cognition. In addition, it clarifies the purpose and method elements at the center for any effective knowledge system. The model centers on the purpose elements of intentions and audience, and the method elements of technical tools and human processes. The output of Knowledge Management includes objective products and subjective interpretations. Feedback verifies the timeliness and efficiency in the process of building information and knowledge.",,38th Annual Hawaii International Conference on System Sciences,3 January 2005 through 6 January 2005,"Beck C.E., Schornack G.R.",57196905130;8897578200;,"Beck, C.E.; Schornack, G.R.",Proceedings of the Annual Hawaii International Conference on System Sciences,Proc. Annu. Hawaii Int. Conf. Syst. Sci.,2.0
A novel visualization classifier and its applications,2005,2-s2.0-26944455173,"Classifiers, as one of the important tools of analyzing gene expression data in the post-genomic epoch, have been used widely in the classification of different cancer types in the past few years. Although most existing classifiers have high classification accuracy, the process of classification is a black box and they can not give biologists more information and interpretable results of classification. In this paper, we propose a novel visualization cancer classification method. Besides offering high classification accuracy, the method can help us identify complex disease-related genes and assess gene expression variation during the process of classification. The results of classification are natural and interpretable and the process of classification is visible. To evaluate the performance of the method we have applied the proposed method to three public data sets. The experimental results demonstrate that the approach is feasible and useful. © Springer-Verlag Berlin Heidelberg 2005.",,"Second International Confernce on Fuzzy Systems and Knowledge Discovery, FSKD 2005",27 August 2005 through 29 August 2005,"Li J., Tang X.L., Li X.",7410071154;7404101300;35237863400;,"Li, J., Department of Computer Science and Technology, Harbin Institute of Technology, Harbin 150001, China; Tang, X.L., Department of Computer Science and Technology, Harbin Institute of Technology, Harbin 150001, China; Li, X., Department of Computer Science and Technology, Harbin Institute of Technology, Harbin 150001, China, Department of Bioinformatics, Harbin Medical University, Harbin 150086, China",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,2.0
Dynamic visualization of signal transduction pathways from database information,2005,2-s2.0-26844512589,"The automatic generation of signal transduction pathways is challenging because it often yields complicated, non-planar diagrams with a large number of intersections. Most signal transduction pathways available in public databases are static images and thus cannot be refined or changed to reflect updated data. We have developed an algorithm for visualizing signal transduction pathways dynamically as three-dimensional layered digraphs. Experimental results show that the algorithm generates clear and aesthetically pleasing representations of large-scale signal-transduction pathways. © Springer-Verlag Berlin Heidelberg 2005.",,13th International Conference on AIS 2004,4 October 2004 through 6 October 2004,"Lee D., Ju B.-H., Han K.",55568531349;7005744366;57209546209;,"Lee, D., School of Computer Science and Engineering, Inha University, Inchon 402-751, South Korea; Ju, B.-H., School of Computer Science and Engineering, Inha University, Inchon 402-751, South Korea; Han, K., School of Computer Science and Engineering, Inha University, Inchon 402-751, South Korea",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,
Combining spatial and lattice-based information landscapes,2005,2-s2.0-26844528218,"In this paper we report on practical information visualization aspects of Conceptual Knowledge Processing (CKP), realizing and illustrating Wille's ""conceptual landscapes"" in the context of developing a conceptual information system to determine surfing conditions on the South Coast of New South Wales, Australia. This novel application illustrates some (if not all) of Wille's CKP tasks: exploring, searching, recognizing, identifying, analyzing, investigating, deciding, restructuring and memorizing (all but improving). It does this by concentrating on combining an information landscape with maps of the physical world. © Springer-Verlag Berlin Heidelberg 2005.",,"Formal Concept Analysis: Third International Conference, ICFCA 2005",14 February 2005 through 18 February 2005,"Ducrou J., Eklund P.",8958209600;7101693123;,"Ducrou, J., School of Information Technology and Computer Science, University of Wollongong, Northfields Avenue, Wollongong, NSW 2522, Australia; Eklund, P., School of Information Technology and Computer Science, University of Wollongong, Northfields Avenue, Wollongong, NSW 2522, Australia",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,3.0
Browsing a document collection represented in two- and three-dimensional virtual information space,2005,2-s2.0-19744377887,"This paper reports a study of information retrieval performance using an interface in which documents were represented by objects in a virtual environment. Spatial location was determined by semantic content, with inter-object distance representing semantic similarity of documents. The quality of spatial-semantic mapping was manipulated as was the number of dimensions (two versus three) in which document nodes were arranged. Participants were required to browse the information space and identify all documents relevant to a specified topic. Results indicated that participants were able to use three-dimensional spatial mapping of semantic information to facilitate task performance, with performance being better when the quality of the mapping was higher. Strategy differences were identified, with participants adopting a more 'exhaustive' approach when searching two-dimensional node arrangements, and a more 'focused' approach for three-dimensional arrangements. Cognitive ability was not strongly associated with task performance, but participants of relatively lower cognitive ability tended to out-perform those of higher cognitive ability in three-dimensional conditions. Possible reasons for these findings are discussed. © 2005 Elsevier Ltd. All rights reserved.",,,,"Westerman S.J., Collins J., Cribbin T.",55407389100;7404951028;6507225073;,"Westerman, S.J., Institute of Psychological Sciences, University of Leeds, Leeds, England, United Kingdom, School of Psychology, University of Leeds, Woodhouse Lane, Leeds LS2 9JT, United Kingdom; Collins, J., Psychology Institute, Aston University, Birmingham, England, United Kingdom; Cribbin, T., School of Information Systems, Computing and Mathematics, Brunel University, Uxbridge, England, United Kingdom",International Journal of Human Computer Studies,Int J Hum Comput Stud,26.0
Deciding on fitness for use: Evaluating the utility of sample maps as an element of geospatial metadata,2005,2-s2.0-19944392618,"Metadata that describe characteristics of geographic datasets are used to discover potential datasets and evaluate their suitability for intended purposes. Here sample maps are suggested as tools for evaluating datasets. Their usefulness in this process was studied as part of a wider research on visualization of geospatial metadata. First, design concepts were tested with twelve subjects who commented different static presentations of sample maps and multivariate visualizations. Then a prototype of an interactive metadata environment composed of sample maps, textual metadata documents, and a parallel coordinate plot was tested with eighteen subjects whose task it was to select the most suitable dataset from among six alternatives each of which represented the same theme. The subjects determined suitability within a use scenario. The prototype proved to be a valuable tool in the evaluation process, especially because multiple maps could be compared.",,,,"Ahonen-Rainio P., Kraak M.-J.",8603497200;7006292890;,"Ahonen-Rainio, P., Institute of Cartography and Geoinformatics, Department of Surveying, Helsinki University of Technology, P.O. Box 1200, FIN-02015 HUT, Finland; Kraak, M.-J., Department of GeoInformation Processing, ITC, International Institute of GeoInformation Science and Earth Observation, P.O. Box 6, NL-7500 AA Enschede, Netherlands",Cartography and Geographic Information Science,Cartogr. Geogr. Inf. Sci,12.0
Multivariate analysis and geovisualization with an integrated geographic knowledge discovery approach,2005,2-s2.0-19944422137,"The discovery, interpretation, and presentation of multivariate spatial patterns are important for scientific understanding of complex geographic problems. This research integrates computational, visual, and cartographic methods together to detect and visualize multivariate spatial patterns. The integrated approach is able to: (1) perform multivariate analysis, dimensional reduction, and data reduction (summarizing a large number of input data items in a moderate number of clusters) with the Self-Organizing Map (SOM); (2) encode the SOM result with a systematically designed color scheme; (3) visualize the multivariate patterns with a modified Parallel Coordinate Plot (PCP) display and a geographic map (GeoMap); and (4) support human interactions to explore and examine patterns. The research shows that such ""mixed initiative"" methods (computational and visual) can mitigate each other's weakness and collaboratively discover complex patterns in large geographic datasets, in an effective and efficient way.",,,,"Guo D., Gahegan M., MacEachren A.M., Zhou B.",8509395300;55970397200;7004102300;8509395200;,"Guo, D., Department of Geography, University of South Carolina, 709 Bull Street, Columbia, SC 29208, United States; Gahegan, M., GeoVISTA Center, Department of Geography, Pennsylvania State University, 302 Walker Building, University Park, PA 16802, United States; MacEachren, A.M., GeoVISTA Center, Department of Geography, Pennsylvania State University, 302 Walker Building, University Park, PA 16802, United States; Zhou, B., GeoVISTA Center, Department of Geography, Pennsylvania State University, 302 Walker Building, University Park, PA 16802, United States",Cartography and Geographic Information Science,Cartogr. Geogr. Inf. Sci,101.0
Evaluating event visualization: A usability study of COPLINK Spatio-Temporal Visualizer,2005,2-s2.0-10644268659,"Event visualization holds the promise of alleviating information overload in human analysis and numerous tools and techniques have been developed and evaluated. However, previous work does not specifically address either the coordination of event dimensions with the types of tasks involved or the way that visualizing different event dimensions can benefit human analysis. In this paper, we propose a taxonomy of event visualization and present a methodology for evaluating a coordinated event visualization tool called COPLINK Spatio-Temporal Visualizer (STV). The taxonomy encompasses various event dimensions, application domains, visualization metaphors, evaluation methods and performance measures. The evaluation methodology examines different event dimensions and different task types, thus juxtaposing two important elements of evaluating a tool. To achieve both internal and external validity, a laboratory experiment with students and a field study with crime analysis experts were conducted. Findings of our usability study show that STV could support crime analysis involving multiple, coordinated event dimensions as effectively as it could analyze individual, uncoordinated event dimensions. STV was significantly more effective and efficient than Microsoft Excel in performing coordinated tasks and was significantly more efficient in doing uncoordinated tasks related to temporal, spatial and aggregated information. Also, STV had compared favorably with Excel in completing uncoordinated tasks related to temporal and spatial information, respectively. Subjects' comments showed STV to be intuitive, useful and preferable to existing crime analysis methods. © 2004 Elsevier Ltd. All rights reserved.",,,,"Chung W., Chen H., Chaboya L.G., O'Toole C.D., Atabakhsh H.",7401983074;8871373800;7801512588;7005035035;6602363174;,"Chung, W., Department of Information Sciences, College of Business Administration, University of Texas at El Paso, 500 W. University Avenue, El Paso, TX 79968, United States, Dept. of Mgmt. Information Systems, McClelland Hall 430, University of Arizona, 1130 East Helen Street, Tucson, AZ 85721, United States; Chen, H., Dept. of Mgmt. Information Systems, McClelland Hall 430, University of Arizona, 1130 East Helen Street, Tucson, AZ 85721, United States; Chaboya, L.G., Dept. of Mgmt. Information Systems, McClelland Hall 430, University of Arizona, 1130 East Helen Street, Tucson, AZ 85721, United States; O'Toole, C.D., Dept. of Mgmt. Information Systems, McClelland Hall 430, University of Arizona, 1130 East Helen Street, Tucson, AZ 85721, United States; Atabakhsh, H., Dept. of Mgmt. Information Systems, McClelland Hall 430, University of Arizona, 1130 East Helen Street, Tucson, AZ 85721, United States",International Journal of Human Computer Studies,Int J Hum Comput Stud,20.0
Illustrative visualization,2005,2-s2.0-33749451048,"The tutorial presents state-of-the-art visualization techniques inspired by traditional technical and medical illustrations. Such techniques exploit the perception of the human visual system and provide effective visual abstractions to make the visualization clearly understandable. Visual emphasis and abstraction has been used for expressive presentation from prehistoric paintings to nowadays scientific and medical illustrations. Many of the expressive techniques used in art are adopted in computer graphics, and are denoted as illustrative or non-photorealistic rendering. Different stroke techniques, or brush properties express a particular level of abstraction. Feature emphasis or feature suppression is achieved by combining different abstraction levels in illustrative rendering. Challenges in visualization research are very large data visualization as well as multi-dimensional data visualization. To effectively convey the most important visual information there is a significant need for visual abstraction. For less relevant information the dedicated image space is reduced to enhance more prominent features. The discussed techniques in the context of scientific visualization are based on iso-surfaces and volume rendering. Apart from visual abstraction, i.e., illustrative representation, the visibility of prominent features can be achieved by illustrative visualization techniques such as cut-away views or ghosted views. The structures that occlude the most prominent information are suppressed in order to clearly see more interesting parts. A different smart way to provide information on the data is using exploded views or other types of deformation. Furthermore intuitive feature classification via 3D painting and manipulation with the classified data including label placement is presented. Discussed non-photorealistic and illustrative techniques from visualization and graphics are shown from the perspective as tools for illustrators from medicine, botany, archeology, and zoology. The limitations of existing NPR systems for science illustration are highlighted, and proposals for possible new directions are made. Illustrative visualization is demonstrated via application-specific tasks in medical visualization. An important aspect as compared to traditional medical illustrations is the interactivity and real-time manipulation of the acquired patient data. This can be very useful in anatomy education. Another application area is surgical planning which is demonstrated with two case studies: neck dissection and liver surgery planning.",IEEE Computer Society,"VIS 05: IEEE Visualization 2005, Proceedings",23 October 2005 through 28 October 2005,"Viola I., Gröller M.E., Hadwiger M., Bühler K., Preim B., Sousa M.C., Ebert D.S., Stredney D., Kanitsar A., Bruckner S., Grimm S., Svakhine N.A., Jang Y., Gaithert K., Tietjen C., Krüger A., Peitgen H.-O., Isenberg T., Hintze J., Hertel I., Strauß G.",8852126000;36152314600;57191747729;7005562440;57195333478;35356149500;35361180100;56851587200;6506139145;7006050988;7006648886;8608201300;36152811100;14827723500;22636193500;14629055100;7004388296;6506341607;13406922800;14628802200;55657155900;,"Viola, I., Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria, Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria, IEEE, Austria; Gröller, M.E., Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria, Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria; Hadwiger, M., VRVis Research Center, Vienna, Austria; Bühler, K., VRVis Research Center, Vienna, Austria, VRVis Research Center, Vienna, Austria; Preim, B., Department of Simulation and Graphics, University of Magdeburg, Germany, Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany, Otto-von-Guericke-University of Magdeburg, FIN/ISG, Germany, Institute for Simulation and Graphics, Department for Computer Science, Otto-von-Guericke-University of Magdeburg, Universitaetsplatz 2, 39106 Magdeburg, Germany, Department of Simulation and Graphics, Otto-von-Guericke University of Magdeburg, Germany, ENT Department, University Hospital of Leipzig, Germany; Sousa, M.C., Department of Computer Science, University of Calgary, Canada, Department of Computer Science, University of Calgary, Canada, Department of Computer Science, Computer Graphics Research Lab., University of Calgary, Canada; Ebert, D.S., School of Electrical and Computer Engineering, Purdue University, United States, Electrical and Computer Engineering, Purdue University, United States, Purdue University, United States, Ohio Supercomputer Center, United States; Stredney, D., Ohio Supercomputer Center, United States, Ohio Supercomputer Center, United States, Interface Laboratory, United States, Biomedical Applications, United States; Kanitsar, A., Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria, IEEE, Austria; Bruckner, S., Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria; Grimm, S., Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria; Svakhine, N.A., Purdue University, United States; Jang, Y., Purdue University, United States; Gaithert, K., University of Texas, Austin, United States; Tietjen, C., Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany, Department of Simulation and Graphics, Otto-von-Guericke University of Magdeburg, Germany; Krüger, A., Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany, Department of Simulation and Graphics, Otto-von-Guericke University of Magdeburg, Germany; Peitgen, H.-O., Center for Medical Diagnosic Systems and Visualization, Universitaetsallee 29, 28359 Bremen, Germany; Isenberg, T., Department of Computer Science, University of Calgary, Canada, Department of Simulation and Graphics, Otto-von-Guericke University of Magdeburg, Germany; Hintze, J., Department of Simulation and Graphics, Otto-von-Guericke University of Magdeburg, Germany; Hertel, I., ENT Department, University Hospital of Leipzig, Germany; Strauß, G., ENT Department, University Hospital of Leipzig, Germany",Proceedings of the IEEE Visualization Conference,Proc IEEE Visual Conf,10.0
Visualization method for customer targeting using customer map,2005,2-s2.0-17844395462,"An important issue in customer-oriented marketing area is target selection which enables the determination of potential customers. In this paper, we suggest a novel customer targeting method: customer map for a service industry. The customer map is the visualization method for customer targeting. It depicts value distribution across customer needs and customer characteristics. To develop the customer map, we integrate numerous customer data from various data sources, perform data analyses using data mining techniques, and finally visualize the information derived by the former analyses. The customer map helps decision makers to build customer-oriented strategy under the unified goal of customer targeting. It also affords to monitor and perceive real time state and the change of customer value distribution based on their information without preconception. We apply the customer map to a credit card company, build web-based prototype system for the customer map and acquire managerial implications from this study. © 2005 Elsevier Ltd. All rights reserved.",Elsevier Ltd,,,"Woo J.Y., Bae S.M., Park S.C.",56241302000;7202714758;35068412200;,"Woo, J.Y., Department of Industrial Engineering, Korean Adv. Inst. Sci. and Technol., Guseong-dong, Yusong-gu, Daejeon 305-701, South Korea; Bae, S.M., Dept. of Indust. and Mgmt. Eng., HANBAT National University, DuckMyoung-Dong, Yusong-Gu, Daejeon 305-719, South Korea; Park, S.C., Department of Industrial Engineering, Korean Adv. Inst. Sci. and Technol., Guseong-dong, Yusong-gu, Daejeon 305-701, South Korea",Expert Systems with Applications,Expert Sys Appl,42.0
Unsupervised recursive sequence processing,2005,2-s2.0-12144281716,"The self-organizing map (SOM) is a valuable tool for data visualization and data mining for potentially high-dimensional data of an a priori fixed dimensionality. We investigate SOMs for sequences and propose the SOM-S architecture for sequential data. Sequences of potentially infinite length are recursively processed by integrating the currently presented item and the recent map activation, as proposed in the SOMSD presented in (IEEE Trans. Neural Networks 14(3) (2003) 491). We combine that approach with the hyperbolic neighborhood of Ritter (Proceedings of PKDD-01, Springer, Berlin, 2001, pp. 338-349), in order to account for the representation of possibly exponentially increasing sequence diversification over time. Discrete and real-valued sequences can be processed efficiently with this method, as we will show in experiments. Temporal dependencies can be reliably extracted from a trained SOM. U-matrix methods, adapted to sequence processing SOMs, allow the detection of clusters also for real-valued sequence elements. © 2004 Elsevier B.V. All rights reserved.",,,,"Strickert M., Hammer B., Blohm S.",14030702700;55791279400;23007599100;,"Strickert, M., Research group LNM, Dept. of Mathematics/Comp. Science, University of Osnabrück, Osnabrück, Germany; Hammer, B., Research group LNM, Dept. of Mathematics/Comp. Science, University of Osnabrück, Osnabrück, Germany; Blohm, S., Institute for Cognitive Science, University of Osnabrück, Osnabrück, Germany",Neurocomputing,Neurocomputing,13.0
How to use the Kohonen algorithm to simultaneously analyze individuals and modalities in a survey,2005,2-s2.0-12144281715,"The Kohonen algorithm (SOM, Self-Organization and Associative Memory, Springer Series in Information Sciences, vol. 8, Springer, Berlin, 1984; Self-Organizing Maps, Springer Series in Information Science, vol. 30, Springer, Berlin, 1995) is a very powerful tool for data analysis. It was originally designed to model organized connections between some biological neural networks. It was also immediately considered as a very good algorithm to realize vectorial quantization, and at the same time pertinent classification, with nice properties for visualization. If the individuals are described by quantitative variables (ratios, frequencies, measurements, amounts, etc.), the straightforward application of the original algorithm leads to build code vectors and to associate to each of them the class of all the individuals which are more similar to this code-vector than to the others. But, in case of individuals described by categorical (qualitative) variables having a finite number of modalities (like in a survey), it is necessary to define a specific algorithm. In this paper, we present a new algorithm inspired by the SOM algorithm, which provides a simultaneous classification of the individuals and of their modalities. © 2004 Elsevier B.V. All rights reserved.",,,,"Cottrell M., Letrémy P.",7005442890;7801591882;,"Cottrell, M., Université Paris I, SAMOS-MATISSE, UMR CNRS 8595, 90 rue de Tolbiac, F-75634 Paris Cedex 13, France; Letrémy, P., Université Paris I, SAMOS-MATISSE, UMR CNRS 8595, 90 rue de Tolbiac, F-75634 Paris Cedex 13, France",Neurocomputing,Neurocomputing,11.0
Diagrams in the mind and in the world: Relations between internal and external visualizations,2004,2-s2.0-9444248166,"Recent advances in computer technology and graphics have made it possible to produce powerful visualizations of scientific phenomena and more abstract information. There is currently much excitement about the potential of these computer visualizations, particularly in education and training in science, technology and medicine. This paper examines three possible relations that might exist between internal and external visualization. First, external visualizations might substitute for internal visualizations. Second their comprehension and use may depend on internal visualizations. Third, they might augment and be augmented by internal visualizations. By reviewing these possibilities, it is argued that the design of external visualizations should be informed by research on internal visualization skills, and that the development of technologies for external visualizations calls for more research on the nature of internal visualization abilities.",,"Third International Conference, Diagrams 2004",22 March 2004 through 24 March 2004,Hegarty M.,57206543288;,"Hegarty, M., Univ. of California, Santa Barbara, Santa Barbara, CA 93106, United States",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,41.0
Visualization of hidden node activity in neural networks: I. Visualization methods,2004,2-s2.0-9444297960,"Quality of neural network mappings may be evaluated by visual inspection of hidden and output node activities for the training dataset. This paper discusses how to visualize such multidimensional data, introducing a new projection on a lattice of hypercube nodes. It also discusses what type of information one may expect from visualization of the activity of hidden and output layers. Detailed analysis of the activity of RBF hidden nodes using this type of visualization is presented in the companion paper.",,"7th International Conference on Artificial Intelligence and Soft Computing, ICAISC 2004",7 June 2004 through 11 June 2004,Duch W.,35242237100;,"Duch, W., School of Computer Engineering, Nanyang Technological University, Singapore, Singapore, Department of Informatics, Nicholaus Copernicus University, Grudzia̧dzka 5, Toruń, Poland",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,6.0
Geographic projection of cluster composites,2004,2-s2.0-9444233909,A composite cluster map displays a fuzzy categorisation of geographic areas. It combines information from several sources to provide a visualisation of the significance of cluster borders. The basic technique renders the chance that two neighbouring locations are members of different clusters as the darkness of the border that is drawn between those two locations. Adding noise to the clustering process is one way to obtain an estimate about how fixed a border is. We verify the reliability of our technique by comparing a composite cluster map with results obtained using multi-dimensional scaling.,,"Third International Conference, Diagrams 2004",22 March 2004 through 24 March 2004,"Kleiweg P., Nerbonne J., Bosveld L.",7801590828;12241373400;6506906689;,"Kleiweg, P., Rijksuniversiteit Groningen, 9700 AS Groningen, Netherlands; Nerbonne, J., Rijksuniversiteit Groningen, 9700 AS Groningen, Netherlands; Bosveld, L., Rijksuniversiteit Groningen, 9700 AS Groningen, Netherlands",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,14.0
7th International Conference on Artificial Intelligent and Soft Computing - ICAISC 2004,2004,2-s2.0-9444297929,The proceedings contain 188 papers from 7th International Conference on Artificial Intelligent and Soft Computing - ICAISC 2004. The topics discussed include: evolutionary design of information systems architectures; clifford support vector machines for classification; neural networks of positive systems; rough set approach to incomplete data and visualization of hidden node activity in neural networks.,,"7th International Conference on Artificial Intelligence and Soft Computing, ICAISC 2004",7 June 2004 through 11 June 2004,[No author name available],[No author id available],,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,
Analysing spectroscopic data using hierarchical cooperative maximum likelihood hebbian learning,2004,2-s2.0-9444259806,"A novel approach to feature selection is presented in this paper, in which the aim is to visualize and extract information from complex, high dimensional spectroscopic data. The model proposed is a mixture of factor analysis and exploratory projection pursuit based on a family of cost functions proposed by Fyfe and MacDonald which maximizes the likelihood of identifying a specific distribution in the data while minimizing the effect of outliers, It employs cooperative lateral connections derived from the Rectified Gaussian Distribution to enforce a more sparse representation in each weight vector. We also demonstrate a hierarchical extension to this method which provides an interactive method for identifying possibly hidden structure in the dataset.",,Third Mexican International Conferenceon Artificial Intelligence,26 April 2004 through 30 April 2004,"MacDonald D., Corchado E., Fyfe C.",7402075741;6602872701;14041684300;,"MacDonald, D., Department of Civil Engineering, University of Burgos, Spain, Appl. Compl. Intell. Research Unit, University of Paisley, United Kingdom; Corchado, E., Department of Civil Engineering, University of Burgos, Spain, Appl. Compl. Intell. Research Unit, University of Paisley, United Kingdom; Fyfe, C., Appl. Compl. Intell. Research Unit, University of Paisley, United Kingdom",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,2.0
Reasoning with projected contours,2004,2-s2.0-9444259810,Projected contours enable Euler diagrams to scale better. They enable the representation of information using less syntax and can therefore increase visual clarity. Here informal reasoning rules are given that allow the transformation of spider diagrams with respect to projected contours.,,"Third International Conference, Diagrams 2004",22 March 2004 through 24 March 2004,John C.,8406411600;,"John, C., Visual Modelling Group, University of Brighton, United Kingdom",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,8.0
3D space framework for the multi-facet accessing of database records,2004,2-s2.0-26444518702,"This paper proposes a framework for the construction of a 3D information access space that supports users to intuitively access large amounts of information. To cope with a large set of database records, we need a dynamic method for organizing and accessing records through multiple different views, such as topological, temporal, categorical, hierarchical and alphabetical views. In the proposed information space architecture, each record is visualized together with its related views, called facets. Each facet is provided as a 3D window-like component that displays a relevant information space on its surface and works as an entrance gate to the space. Through facet components, we can catch a glimpse of more detailed or related information spaces. We can also access relevant records by diving into arbitrarily chosen one of these spaces. Users can dynamically edit these multiple views in order to change the navigation and visualization functions by directly selecting and manipulating facet components. © Springer-Verlag Berlin Heidelberg 2004.",,International Workshop on Intuitive Human Interfaces for Organizing and Accessing Intellectual Assets,1 March 2004 through 5 March 2004,"Ohigashi M., Tanaka Y.",8849965600;7405316419;,"Ohigashi, M., Meme Media Laboratory, Hokkaido University, N.13 W.8, Kita-ku Sapporo 060-8628, Japan; Tanaka, Y., Meme Media Laboratory, Hokkaido University, N.13 W.8, Kita-ku Sapporo 060-8628, Japan",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,3.0
Semantic Webs for learning: A vision and its realization,2004,2-s2.0-22944449358,"Augmenting web pages with semantic contents, i.e., building a 'Semantic Web', promises a number of benefits for web users in general and learners in particular. Semantic technologies will make it possible to reason about the Web as if it was one extended knowledge base, thus offering increased precision when accessing information and the ability to locate information distributed across different web pages. Moreover, it will become possible to develop a range of educational semantic web services, such as interpretation or sensemaking, structure-visualization, support for argumentation, novel forms of content customization, novel mechanisms for aggregating learning material, and so on. In this paper we provide a framework to show how Semantic Browsers which use ontologies to identity important concepts in a document as a means of providing access to associated educational services can be used in conjunction with Knowledge Charts (ontologically permeated representations of a community's knowledge) in a process we call Knowledge Navigation as an important new resource for learning. © Springer-Verlag Berlin Heidelberg 2004.",,14th International Conference EKAW 2004: Engineering Knowledge in the Age of the Semantic Web,5 October 2004 through 8 October 2004,"Stutt A., Motta E.",6602887467;7006092143;,"Stutt, A., Knowledge Media Institute, Open University, United Kingdom; Motta, E., Knowledge Media Institute, Open University, United Kingdom",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,6.0
"Discovering, visualizing, and sharing knowledge through personalized learning knowledge maps",2004,2-s2.0-23144438514,"This paper presents an agent-based approach to semantic exploration and knowledge discovery in large information spaces by means of capturing, visualizing and making usable implicit knowledge structures of a group of users. The focus is on the developed conceptual model and system for creation and collaborative use of personalized learning knowledge maps. We use the paradigm of agents on the one hand as model for our approach, on the other hand it serves as a basis for an efficient implementation of the system. We present an unobtrusive model for profiling personalised user agents based on two dimensional semantic maps that provide 1) a medium of implicit communication between human users and the agents, 2) form of visual representation of resulting knowledge structures. Concerning the issues of implementation we present an agent architecture, consisting of two sets of asynchronously operating agents, which enables both sophisticated processing, as well as short respond times necessary for enabling interactive use in real-time. © Springer-Verlag Berlin Heidelberg 2003.",,International Symposium - AMKM 2003: Agent-Mediated Knowledge Management,24 March 2003 through 26 March 2003,"Novak J., Wurst M., Fleischmann M., Strauss W.",57206289517;13405022200;7005757938;7103351555;,"Novak, J., Fraunhofer Institute for Media Communication, MARS Exploratory Media Lab., Schloss Birlinghoven, D-53754 Sankt Augustin, Germany; Wurst, M., University of Dortmund, Artificial Intelligence Dept., D-44221 Dortmund, Germany; Fleischmann, M., Fraunhofer Institute for Media Communication, MARS Exploratory Media Lab., Schloss Birlinghoven, D-53754 Sankt Augustin, Germany; Strauss, W., Fraunhofer Institute for Media Communication, MARS Exploratory Media Lab., Schloss Birlinghoven, D-53754 Sankt Augustin, Germany",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Lect Notes Artif Intell,6.0
